clip_id,voice_id,sentence_id,noise_type,snr_db,path,reference_raw,prediction_raw,reference_norm,prediction_norm,wer,cer
voice_01_s001_cafe_20db,voice_01,s001,cafe,20,data\noisy_wav\voice_01_s001_cafe_20db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_cafe_10db,voice_01,s001,cafe,10,data\noisy_wav\voice_01_s001_cafe_10db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_cafe_5db,voice_01,s001,cafe,5,data\noisy_wav\voice_01_s001_cafe_5db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_cafe_0db,voice_01,s001,cafe,0,data\noisy_wav\voice_01_s001_cafe_0db.wav,The package arrived before noon.,The package arrived before you know.,the package arrived before noon,the package arrived before you know,0.4,0.1935483870967742
voice_01_s001_cafe_-5db,voice_01,s001,cafe,-5,data\noisy_wav\voice_01_s001_cafe_-5db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_cafe_-10db,voice_01,s001,cafe,-10,data\noisy_wav\voice_01_s001_cafe_-10db.wav,The package arrived before noon.,What a nice restaurant.,the package arrived before noon,what a nice restaurant,1.0,0.7419354838709677
voice_01_s001_traffic_20db,voice_01,s001,traffic,20,data\noisy_wav\voice_01_s001_traffic_20db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_traffic_10db,voice_01,s001,traffic,10,data\noisy_wav\voice_01_s001_traffic_10db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_traffic_5db,voice_01,s001,traffic,5,data\noisy_wav\voice_01_s001_traffic_5db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_traffic_0db,voice_01,s001,traffic,0,data\noisy_wav\voice_01_s001_traffic_0db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_traffic_-5db,voice_01,s001,traffic,-5,data\noisy_wav\voice_01_s001_traffic_-5db.wav,The package arrived before noon.,the package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_traffic_-10db,voice_01,s001,traffic,-10,data\noisy_wav\voice_01_s001_traffic_-10db.wav,The package arrived before noon.,the package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_fan_20db,voice_01,s001,fan,20,data\noisy_wav\voice_01_s001_fan_20db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_fan_10db,voice_01,s001,fan,10,data\noisy_wav\voice_01_s001_fan_10db.wav,The package arrived before noon.,the package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_fan_5db,voice_01,s001,fan,5,data\noisy_wav\voice_01_s001_fan_5db.wav,The package arrived before noon.,The package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_fan_0db,voice_01,s001,fan,0,data\noisy_wav\voice_01_s001_fan_0db.wav,The package arrived before noon.,the package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_fan_-5db,voice_01,s001,fan,-5,data\noisy_wav\voice_01_s001_fan_-5db.wav,The package arrived before noon.,the package arrived before noon.,the package arrived before noon,the package arrived before noon,0.0,0.0
voice_01_s001_fan_-10db,voice_01,s001,fan,-10,data\noisy_wav\voice_01_s001_fan_-10db.wav,The package arrived before noon.,The package arrived before the day.,the package arrived before noon,the package arrived before the day,0.4,0.22580645161290322
voice_01_s002_cafe_20db,voice_01,s002,cafe,20,data\noisy_wav\voice_01_s002_cafe_20db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
voice_01_s002_cafe_10db,voice_01,s002,cafe,10,data\noisy_wav\voice_01_s002_cafe_10db.wav,She forgot her notebook at the library.,She forgot her notebook at the library.,she forgot her notebook at the library,she forgot her notebook at the library,0.0,0.0
