clip_id,voice_id,sentence_id,transcript,audio_type,noise_type,snr_db,noise_start_sample,path
voice_01_s001_cafe_20db,voice_01,s001,The package arrived before noon.,noisy,cafe,20,167621,data\noisy_wav\voice_01_s001_cafe_20db.wav
voice_01_s001_cafe_10db,voice_01,s001,The package arrived before noon.,noisy,cafe,10,29184,data\noisy_wav\voice_01_s001_cafe_10db.wav
voice_01_s001_cafe_5db,voice_01,s001,The package arrived before noon.,noisy,cafe,5,6556,data\noisy_wav\voice_01_s001_cafe_5db.wav
voice_01_s001_cafe_0db,voice_01,s001,The package arrived before noon.,noisy,cafe,0,194393,data\noisy_wav\voice_01_s001_cafe_0db.wav
voice_01_s001_cafe_-5db,voice_01,s001,The package arrived before noon.,noisy,cafe,-5,72097,data\noisy_wav\voice_01_s001_cafe_-5db.wav
voice_01_s001_cafe_-10db,voice_01,s001,The package arrived before noon.,noisy,cafe,-10,64196,data\noisy_wav\voice_01_s001_cafe_-10db.wav
voice_01_s001_traffic_20db,voice_01,s001,The package arrived before noon.,noisy,traffic,20,1872427,data\noisy_wav\voice_01_s001_traffic_20db.wav
voice_01_s001_traffic_10db,voice_01,s001,The package arrived before noon.,noisy,traffic,10,1170528,data\noisy_wav\voice_01_s001_traffic_10db.wav
voice_01_s001_traffic_5db,voice_01,s001,The package arrived before noon.,noisy,traffic,5,6177968,data\noisy_wav\voice_01_s001_traffic_5db.wav
voice_01_s001_traffic_0db,voice_01,s001,The package arrived before noon.,noisy,traffic,0,859791,data\noisy_wav\voice_01_s001_traffic_0db.wav
voice_01_s001_traffic_-5db,voice_01,s001,The package arrived before noon.,noisy,traffic,-5,5676566,data\noisy_wav\voice_01_s001_traffic_-5db.wav
voice_01_s001_traffic_-10db,voice_01,s001,The package arrived before noon.,noisy,traffic,-10,6213171,data\noisy_wav\voice_01_s001_traffic_-10db.wav
voice_01_s001_fan_20db,voice_01,s001,The package arrived before noon.,noisy,fan,20,571858,data\noisy_wav\voice_01_s001_fan_20db.wav
voice_01_s001_fan_10db,voice_01,s001,The package arrived before noon.,noisy,fan,10,91161,data\noisy_wav\voice_01_s001_fan_10db.wav
voice_01_s001_fan_5db,voice_01,s001,The package arrived before noon.,noisy,fan,5,619176,data\noisy_wav\voice_01_s001_fan_5db.wav
voice_01_s001_fan_0db,voice_01,s001,The package arrived before noon.,noisy,fan,0,442417,data\noisy_wav\voice_01_s001_fan_0db.wav
voice_01_s001_fan_-5db,voice_01,s001,The package arrived before noon.,noisy,fan,-5,33326,data\noisy_wav\voice_01_s001_fan_-5db.wav
voice_01_s001_fan_-10db,voice_01,s001,The package arrived before noon.,noisy,fan,-10,31244,data\noisy_wav\voice_01_s001_fan_-10db.wav
voice_01_s002_cafe_20db,voice_01,s002,She forgot her notebook at the library.,noisy,cafe,20,24561,data\noisy_wav\voice_01_s002_cafe_20db.wav
voice_01_s002_cafe_10db,voice_01,s002,She forgot her notebook at the library.,noisy,cafe,10,57314,data\noisy_wav\voice_01_s002_cafe_10db.wav
voice_01_s002_cafe_5db,voice_01,s002,She forgot her notebook at the library.,noisy,cafe,5,60990,data\noisy_wav\voice_01_s002_cafe_5db.wav
voice_01_s002_cafe_0db,voice_01,s002,She forgot her notebook at the library.,noisy,cafe,0,132475,data\noisy_wav\voice_01_s002_cafe_0db.wav
voice_01_s002_cafe_-5db,voice_01,s002,She forgot her notebook at the library.,noisy,cafe,-5,157815,data\noisy_wav\voice_01_s002_cafe_-5db.wav
voice_01_s002_cafe_-10db,voice_01,s002,She forgot her notebook at the library.,noisy,cafe,-10,6956,data\noisy_wav\voice_01_s002_cafe_-10db.wav
voice_01_s002_traffic_20db,voice_01,s002,She forgot her notebook at the library.,noisy,traffic,20,4708064,data\noisy_wav\voice_01_s002_traffic_20db.wav
voice_01_s002_traffic_10db,voice_01,s002,She forgot her notebook at the library.,noisy,traffic,10,1667971,data\noisy_wav\voice_01_s002_traffic_10db.wav
voice_01_s002_traffic_5db,voice_01,s002,She forgot her notebook at the library.,noisy,traffic,5,6006407,data\noisy_wav\voice_01_s002_traffic_5db.wav
voice_01_s002_traffic_0db,voice_01,s002,She forgot her notebook at the library.,noisy,traffic,0,5451625,data\noisy_wav\voice_01_s002_traffic_0db.wav
voice_01_s002_traffic_-5db,voice_01,s002,She forgot her notebook at the library.,noisy,traffic,-5,5883140,data\noisy_wav\voice_01_s002_traffic_-5db.wav
voice_01_s002_traffic_-10db,voice_01,s002,She forgot her notebook at the library.,noisy,traffic,-10,4571300,data\noisy_wav\voice_01_s002_traffic_-10db.wav
voice_01_s002_fan_20db,voice_01,s002,She forgot her notebook at the library.,noisy,fan,20,439898,data\noisy_wav\voice_01_s002_fan_20db.wav
voice_01_s002_fan_10db,voice_01,s002,She forgot her notebook at the library.,noisy,fan,10,231148,data\noisy_wav\voice_01_s002_fan_10db.wav
voice_01_s002_fan_5db,voice_01,s002,She forgot her notebook at the library.,noisy,fan,5,471029,data\noisy_wav\voice_01_s002_fan_5db.wav
voice_01_s002_fan_0db,voice_01,s002,She forgot her notebook at the library.,noisy,fan,0,617889,data\noisy_wav\voice_01_s002_fan_0db.wav
